Age Group,Order,Genre,Artist,Listening Time
"I am 18, 19, 20, 21, 22, 23, or 24 years old",2,Modern Alternative Rock,Nothing But Thieves,103227
"I am 18, 19, 20, 21, 22, 23, or 24 years old",3,Indie Poptimism ,Glass Animals,103227
"I am 18, 19, 20, 21, 22, 23, or 24 years old",4,Modern Rock,Taylor Swift,103227
"I am 18, 19, 20, 21, 22, 23, or 24 years old",5,Electropop,Lil Nas X,103227
"I am 18, 19, 20, 21, 22, 23, or 24 years old",1,J-Pop,I Dont Know How But They Found Me,34059
"I am 18, 19, 20, 21, 22, 23, or 24 years old",2,Classic Rock,Tally Hall,34059
"I am 18, 19, 20, 21, 22, 23, or 24 years old",3,Indie Pop,"Tyler, The Creator",34059
"I am 18, 19, 20, 21, 22, 23, or 24 years old",4,K-Pop,Mother Mother,34059
"I am 18, 19, 20, 21, 22, 23, or 24 years old",5,Dance Pop,Teddy Hyde,34059
"I am 18, 19, 20, 21, 22, 23, or 24 years old",1,Dance Pop,The Beatles ,36704
"I am 18, 19, 20, 21, 22, 23, or 24 years old",2,Classic Rock,Katy Perry ,36704
"I am 18, 19, 20, 21, 22, 23, or 24 years old",3,Soul,The Strokes,36704
"I am 18, 19, 20, 21, 22, 23, or 24 years old",4,Indie Rock,Bo Burnham,36704
"I am 18, 19, 20, 21, 22, 23, or 24 years old",5,Alternative Hip Hop,The Lemon Twigs,36704
"I am 18, 19, 20, 21, 22, 23, or 24 years old",1,Indie Pop,Kaleo ,78005
"I am 18, 19, 20, 21, 22, 23, or 24 years old",2,Dance Pop,Taylor Swift ,78005
"I am 18, 19, 20, 21, 22, 23, or 24 years old",3,Indie Folk,Day Suleiman,78005
"I am 18, 19, 20, 21, 22, 23, or 24 years old",4,Neosoul,Bon Iver ,78005
"I am 18, 19, 20, 21, 22, 23, or 24 years old",5,Alternative Rock ,Lily Moore ,78005
"I am 18, 19, 20, 21, 22, 23, or 24 years old",1,Dance Pop,Nicki Minaj,54017
"I am 18, 19, 20, 21, 22, 23, or 24 years old",2, Art Pop,Doja Cat,54017
"I am 18, 19, 20, 21, 22, 23, or 24 years old",3,Electropop,Ariana Grande,54017
"I am 18, 19, 20, 21, 22, 23, or 24 years old",4,Canadian Pop,Billie Eilish ,54017
"I am 18, 19, 20, 21, 22, 23, or 24 years old",5,Ether Pop,Halsey,54017
"I am 18, 19, 20, 21, 22, 23, or 24 years old",1,Showtunes,Joji,20274
"I am 18, 19, 20, 21, 22, 23, or 24 years old",2,Dance Pop,Tame Impala,20274
"I am 18, 19, 20, 21, 22, 23, or 24 years old",3,Worship,Hillsong United,20274
"I am 18, 19, 20, 21, 22, 23, or 24 years old",4,Indie Pop,Wallows,20274
"I am 18, 19, 20, 21, 22, 23, or 24 years old",5,Contemporary Country ,Billie Eilish ,20274
